customerID,MonthlyCharges,tenure,Contract,Churn
8199-ZLLSA,118.35,67,One year,Yes
2889-FPWRM,117.8,72,One year,Yes
2302-ANTDP,117.45,48,Month-to-month,Yes
9053-JZFKV,116.2,67,Two year,Yes
1444-VVSGW,115.65,70,One year,Yes
0201-OAMXR,115.55,70,One year,Yes
4361-BKAXE,114.5,41,Month-to-month,Yes
1555-DJEQW,114.2,70,Two year,Yes
9158-VCTQB,113.6,41,Month-to-month,Yes
7279-BUYWN,113.2,41,Month-to-month,Yes
5271-YNWVR,113.15,68,Two year,Yes
1583-IHQZE,112.95,12,Month-to-month,Yes
5236-PERKL,112.95,57,Two year,Yes
2403-BCASL,111.95,41,One year,Yes
6664-FPDAC,111.95,56,One year,Yes
3090-HAWSU,111.6,61,Two year,Yes
2659-VXMWZ,111.3,67,One year,Yes
9249-FXSCK,111.25,52,One year,Yes
0115-TFERT,111.2,21,Month-to-month,Yes
9079-YEXQJ,111.1,54,Month-to-month,Yes
