tenure,customers_at_this_tenure,retained,retention_rate_pct
0,11,11,100.0
1,613,233,38.01
2,238,115,48.32
3,200,106,53.0
4,176,93,52.84
5,133,69,51.88
6,110,70,63.64
7,131,80,61.07
8,123,81,65.85
9,119,73,61.34
10,116,71,61.21
11,99,68,68.69
12,117,79,67.52
13,109,71,65.14
14,76,52,68.42
15,99,62,62.63
16,80,52,65.0
17,87,61,70.11
18,97,73,75.26
19,73,54,73.97
20,71,53,74.65
21,63,46,73.02
22,90,63,70.0
23,85,72,84.71
24,94,71,75.53
25,79,56,70.89
26,79,64,81.01
27,72,59,81.94
28,57,45,78.95
29,72,57,79.17
30,72,56,77.78
31,65,49,75.38
32,69,50,72.46
33,64,50,78.13
34,65,53,81.54
35,88,73,82.95
36,50,40,80.0
37,65,50,76.92
38,59,46,77.97
39,56,42,75.0
40,64,51,79.69
41,70,56,80.0
42,65,51,78.46
43,65,50,76.92
44,51,45,88.24
45,61,55,90.16
46,74,62,83.78
47,68,54,79.41
48,64,55,85.94
49,66,51,77.27
50,68,58,85.29
51,68,60,88.24
52,80,72,90.0
53,70,56,80.0
54,68,55,80.88
55,64,55,85.94
56,80,70,87.5
57,65,57,87.69
58,67,56,83.58
59,60,52,86.67
60,76,70,92.11
61,76,68,89.47
62,70,65,92.86
63,72,68,94.44
64,80,76,95.0
65,76,67,88.16
66,89,76,85.39
67,98,88,89.8
68,100,91,91.0
69,95,87,91.58
70,119,108,90.76
71,170,164,96.47
72,362,356,98.34
